signal_id,code,direction,strength,factor_values,strategy_id,generated_at,consumed
sig-1c47c9d3,600519,buy,0.8,{},,2026-09-12T16:45:48.271248,0
sig-48298101,600519,buy,0.8,{},,2026-09-13T10:07:35.970912,0
sig-19ddd83a,600519,buy,0.8,{},,2026-09-13T10:24:46.812127,0
sig-1e47393b,600519,buy,0.8,{},,2026-09-13T10:28:49.835373,0
sig-d730539c,600519,buy,0.8,{},,2026-09-13T10:29:41.219792,0
sig-fe15d691,600519,buy,0.8,{},,2026-09-13T10:51:58.565910,0
sig-7f4d0e91,600519,buy,0.8,{},,2026-09-13T10:57:06.396380,0
sig-8c2276e4,600519,buy,0.8,{},,2026-09-13T12:22:00.892643,0
sig-3dc916ca,600519,buy,0.8,{},,2026-09-13T12:26:17.184103,0
sig-f055f8ac,600519,buy,0.8,{},,2026-09-13T13:05:19.126987,0
sig-4f1461cd,600519,buy,0.8,{},,2026-09-13T13:53:58.153070,0
sig-1be91bf6,600519,buy,0.8,{},,2026-09-13T14:02:05.141876,0
sig-01d873bc,600519,buy,0.8,{},,2026-09-13T14:07:41.366569,0
sig-d596192b,600519,buy,0.8,{},,2026-09-13T14:31:54.989295,0
sig-3a0dad0e,600519,buy,0.8,{},,2026-09-13T14:35:54.506674,0
sig-9adec194,600519,buy,0.8,{},,2026-09-13T16:10:56.350285,0
sig-fef028b8,600519,buy,0.8,{},,2026-09-13T16:37:54.003363,0
sig-771d55a7,600519,buy,0.8,{},,2026-09-13T16:43:59.040674,0
sig-a86c4060,600519,buy,0.8,{},,2026-09-13T16:51:18.490859,0
sig-0972f77c,600519,buy,0.8,{},,2026-09-13T16:55:32.006178,0
sig-29e95561,600519,buy,0.8,{},,2026-09-13T17:01:37.943353,0
sig-cb977146,600519,buy,0.8,{},,2026-09-13T17:16:49.752694,0
sig-66b95ec9,600519,buy,0.8,{},,2026-09-13T17:48:23.129708,0
sig-e6f457c6,600519,buy,0.8,{},,2026-09-13T17:54:01.237377,0
sig-51ecdd4e,600519,buy,0.8,{},,2026-09-13T18:08:40.094299,0
sig-1b5fb52f,600519,buy,0.8,{},,2026-09-13T18:14:18.873119,0
sig-92b94936,600519,buy,0.8,{},,2026-09-20T17:03:41.053980,0
sig-5b41b87f,600519,buy,0.8,{},,2026-09-20T17:10:49.270610,0
sig-b09e0ba1,600519,buy,0.8,{},,2026-09-20T17:30:12.850013,0
sig-5b6c0a44,600519,buy,0.8,{},,2026-09-20T17:37:46.713789,0
sig-fd8a5a50,600519,buy,0.8,{},,2026-09-20T17:44:29.682191,0
sig-46eac75c,600519,buy,0.8,{},,2026-09-20T17:51:40.282697,0
sig-22b01cd7,600519,buy,0.8,{},,2026-09-20T17:58:42.478341,0
sig-0292d19b,600519,buy,0.8,{},,2026-09-20T18:10:34.397809,0
sig-89dad923,600519,buy,0.8,{},,2026-09-20T18:37:08.109476,0
sig-43abd1ad,600519,buy,0.8,{},,2026-09-21T12:14:53.086007,0
sig-06891838,600519,buy,0.8,{},,2026-09-21T12:27:35.352567,0
sig-bffa44a1,600519,buy,0.8,{},,2026-09-21T12:39:51.884803,0
sig-cd3ca423,600519,buy,0.8,{},,2026-09-21T12:48:39.610852,0
sig-5722822c,600519,buy,0.8,{},,2026-09-21T12:56:05.779159,0
sig-44921a33,600519,buy,0.8,{},,2026-09-21T13:06:39.188001,0
sig-f48fb901,600519,buy,0.8,{},,2026-09-21T13:13:57.006578,0
sig-939832ca,600519,buy,0.8,{},,2026-09-21T13:19:21.997943,0
sig-472ccfe7,600519,buy,0.8,{},,2026-09-21T13:28:34.863932,0
sig-d0b34aa3,600519,buy,0.8,{},,2026-09-21T13:33:33.186092,0
sig-59bb9aec,600519,buy,0.8,{},,2026-09-21T15:44:10.666583,0
sig-bc05e47c,600519,buy,0.8,{},,2026-09-21T15:56:01.354450,0
sig-c767d61d,600519,buy,0.8,{},,2026-09-21T16:11:49.722140,0
sig-fb0f3eb7,600519,buy,0.8,{},,2026-09-21T16:17:43.036910,0
sig-05a2774d,600519,buy,0.8,{},,2026-09-21T16:35:31.678430,0
sig-81bc5e5e,600519,buy,0.8,{},,2026-09-21T17:34:36.003410,0
sig-78b757f1,600519,buy,0.8,{},,2026-09-22T16:17:41.984719,0
sig-7f784a84,600519,buy,0.8,{},,2026-09-22T17:16:49.306813,0
sig-787aa3e0,600519,buy,0.8,{},,2026-09-22T17:40:56.430660,0
sig-eaf4a1ab,600519,buy,0.8,{},,2026-09-22T18:51:59.128780,0
sig-0bfefde8,600519,buy,0.8,{},,2026-09-23T08:50:44.359806,0
sig-73bc21bf,600519,buy,0.8,{},,2026-09-23T09:02:50.433080,0
sig-73156554,600519,buy,0.8,{},,2026-09-23T09:24:36.811356,0
sig-39525127,600519,buy,0.8,{},,2026-09-23T12:08:40.825049,0
sig-205c2606,600519,buy,0.8,{},,2026-09-23T12:12:54.667090,0
