trade_id,tenant_id,order_id,code,side,quantity,price,commission,tax,executed_at
trd-ab234c14,default,ord-bb88afdd,600519,buy,100,1800.0,0.0,0.0,2026-09-12T16:45:48.239129
trd-f15ba246,default,ord-37d2edc9,600519,buy,100,1800.0,0.0,0.0,2026-09-13T10:07:35.789126
trd-09ebb6c1,default,ord-719b4ab6,600519,buy,100,1800.0,0.0,0.0,2026-09-13T10:24:46.764405
trd-070ef06d,default,ord-c50e684c,600519,buy,100,1800.0,0.0,0.0,2026-09-13T10:28:49.794450
trd-df129a41,default,ord-031aa1f2,600519,buy,100,1800.0,0.0,0.0,2026-09-13T10:29:41.182460
trd-210b09e0,default,ord-5533220d,600519,buy,100,1800.0,0.0,0.0,2026-09-13T10:51:58.526997
trd-49ce0c80,default,ord-e3323f40,600519,buy,100,1800.0,0.0,0.0,2026-09-13T10:57:06.359942
trd-02598420,default,ord-6aaa1d6e,600519,buy,100,1800.0,0.0,0.0,2026-09-13T12:22:00.857411
trd-70413505,default,ord-fa5dc308,600519,buy,100,1800.0,0.0,0.0,2026-09-13T12:26:17.150514
trd-2319b171,default,ord-b6c23f30,600519,buy,100,1800.0,0.0,0.0,2026-09-13T13:05:19.081886
trd-e4cd55b6,default,ord-83536aaf,600519,buy,100,1800.0,0.0,0.0,2026-09-13T13:53:58.116886
trd-10689b6a,default,ord-7622cf89,600519,buy,100,1800.0,0.0,0.0,2026-09-13T14:02:05.099275
trd-070c6932,default,ord-4639910f,600519,buy,100,1800.0,0.0,0.0,2026-09-13T14:07:41.323324
trd-c1aa8c0c,default,ord-c5e9478f,600519,buy,100,1800.0,0.0,0.0,2026-09-13T14:31:54.951125
trd-a4f3292d,default,ord-3a62f86e,600519,buy,100,1800.0,0.0,0.0,2026-09-13T14:35:54.468064
trd-8590e387,default,ord-e1d1e8e5,600519,buy,100,1800.0,0.0,0.0,2026-09-13T16:10:56.307839
trd-3faa4636,default,ord-73b5607d,600519,buy,100,1800.0,0.0,0.0,2026-09-13T16:37:53.953763
trd-32ac1433,default,ord-522ca342,600519,buy,100,1800.0,0.0,0.0,2026-09-13T16:43:58.990679
trd-9b3ba7f6,default,ord-d636d7b6,600519,buy,100,1800.0,0.0,0.0,2026-09-13T16:51:18.450563
trd-40a1020e,default,ord-1d8944ac,600519,buy,100,1800.0,0.0,0.0,2026-09-13T16:55:31.966239
trd-4d7d83a1,default,ord-2a04d292,600519,buy,100,1800.0,0.0,0.0,2026-09-13T17:01:37.903626
trd-13313d9f,default,ord-c904fb62,600519,buy,100,1800.0,0.0,0.0,2026-09-13T17:16:49.708068
trd-138f3fa6,default,ord-8f5e1a52,600519,buy,100,1800.0,0.0,0.0,2026-09-13T17:48:23.086364
trd-ea966144,default,ord-612bdee1,600519,buy,100,1800.0,0.0,0.0,2026-09-13T17:54:01.195027
trd-e1710fb0,default,ord-2f3fddb1,600519,buy,100,1800.0,0.0,0.0,2026-09-13T18:08:40.054905
trd-7913a27f,default,ord-fd77cfd0,600519,buy,100,1800.0,0.0,0.0,2026-09-13T18:14:18.832075
trd-bb2dda48,default,ord-1bda7077,600519,buy,100,1800.0,0.0,0.0,2026-09-20T17:03:41.007171
trd-19076bd8,default,ord-029a9ddc,600519,buy,100,1800.0,0.0,0.0,2026-09-20T17:10:49.229146
trd-280d179c,default,ord-1b896e73,600519,buy,100,1800.0,0.0,0.0,2026-09-20T17:30:12.801876
trd-e4fd1ba1,default,ord-d4311c73,600519,buy,100,1800.0,0.0,0.0,2026-09-20T17:37:46.671740
trd-29c7a120,default,ord-1e3bed96,600519,buy,100,1800.0,0.0,0.0,2026-09-20T17:44:29.545954
trd-b6aa419e,default,ord-060e920a,600519,buy,100,1800.0,0.0,0.0,2026-09-20T17:51:40.227864
trd-42ea6536,default,ord-52e5deb1,600519,buy,100,1800.0,0.0,0.0,2026-09-20T17:58:42.380433
trd-b533e66b,default,ord-04017f63,600519,buy,100,1800.0,0.0,0.0,2026-09-20T18:10:34.311146
trd-ad7248cb,default,ord-762bd93c,600519,buy,100,1800.0,0.0,0.0,2026-09-20T18:37:08.051314
trd-3b27bb3e,default,ord-a2869007,600519,buy,100,1800.0,0.0,0.0,2026-09-21T12:14:53.030330
trd-6f56956d,default,ord-9aae43f7,600519,buy,100,1800.0,0.0,0.0,2026-09-21T12:27:35.300797
trd-eb63ec5f,default,ord-d71bd99e,600519,buy,100,1800.0,0.0,0.0,2026-09-21T12:39:51.831744
trd-6a2d6341,default,ord-e01e112d,600519,buy,100,1800.0,0.0,0.0,2026-09-21T12:48:39.522351
trd-e0a8364c,default,ord-842fe175,600519,buy,100,1800.0,0.0,0.0,2026-09-21T12:56:05.719952
trd-34d54bdc,default,ord-cf42fc0d,600519,buy,100,1800.0,0.0,0.0,2026-09-21T13:06:39.123801
trd-d1361e2f,default,ord-d8d5e75b,600519,buy,100,1800.0,0.0,0.0,2026-09-21T13:13:56.415846
trd-0e3d16ca,default,ord-9ab8f96a,600519,buy,100,1800.0,0.0,0.0,2026-09-21T13:19:21.939764
trd-7df16265,default,ord-d4e76ec0,600519,buy,100,1800.0,0.0,0.0,2026-09-21T13:28:34.807252
trd-ed91496a,default,ord-d6f8e21c,600519,buy,100,1800.0,0.0,0.0,2026-09-21T13:33:33.138088
trd-24ddbf0d,default,ord-1aa8c37e,600519,buy,100,1800.0,0.0,0.0,2026-09-21T15:44:10.578087
